Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. RS9916],Synechococcus sp. RS9916,NA,221359,104,104,92%,5e-27,24.18,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007098386.1?report=genbank&log$=prottop&blast_rank=11&RID=2AYZ3C4E016"",""WP_007098386.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. TCL240-02],Nostoc sp. TCL240-02,NA,2572090,105,105,98%,6e-27,34.55,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_174708625.1?report=genbank&log$=prottop&blast_rank=12&RID=2AYZ3C4E016"",""WP_174708625.1"")"
Nif11-like leader peptide family RiPP precursor [Moorea producens],Moorea producens,NA,1155739,105,105,98%,8e-27,33.93,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070390934.1?report=genbank&log$=prottop&blast_rank=13&RID=2AYZ3C4E016"",""WP_070390934.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIO4G3],Moorea sp. SIO4G3,NA,2607821,105,105,98%,9e-27,33.93,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO75532.1?report=genbank&log$=prottop&blast_rank=14&RID=2AYZ3C4E016"",""NEO75532.1"")"
Nif11-type precursor [Desmonostoc muscorum PCC 7121],Desmonostoc muscorum PCC 7121,NA,197230,104,104,98%,1e-26,32.14,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79666.1?report=genbank&log$=prottop&blast_rank=15&RID=2AYZ3C4E016"",""AVH79666.1"")"
Nif11-type precursor [Nostoc sp. PCC 9201],Nostoc sp. PCC 9201,NA,2099382,103,103,98%,2e-26,33.93,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79634.1?report=genbank&log$=prottop&blast_rank=16&RID=2AYZ3C4E016"",""AVH79634.1"")"
Nif11-like leader peptide family RiPP precursor [aff. Roholtiella sp. LEGE 12411],aff. Roholtiella sp. LEGE 12411,NA,1828822,103,103,98%,3e-26,33.96,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194004848.1?report=genbank&log$=prottop&blast_rank=17&RID=2AYZ3C4E016"",""WP_194004848.1"")"
Nif11-like leader peptide family natural product precursor [Nostocaceae cyanobacterium CENA357],Nostocaceae cyanobacterium CENA357,NA,1725252,103,103,98%,4e-26,32.73,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBH8553539.1?report=genbank&log$=prottop&blast_rank=18&RID=2AYZ3C4E016"",""MBH8553539.1"")"
Nif11-like leader peptide family natural product precursor [Nostoc minutum NIES-26],Nostoc minutum NIES-26,NA,1844469,103,103,98%,4e-26,32.20,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RCJ20370.1?report=genbank&log$=prottop&blast_rank=19&RID=2AYZ3C4E016"",""RCJ20370.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc commune],Nostoc commune,NA,1178,102,102,98%,2e-25,33.05,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_109012151.1?report=genbank&log$=prottop&blast_rank=20&RID=2AYZ3C4E016"",""WP_109012151.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIO3H5],Moorea sp. SIO3H5,NA,2607834,101,101,98%,2e-25,32.73,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO70182.1?report=genbank&log$=prottop&blast_rank=21&RID=2AYZ3C4E016"",""NEO70182.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa W13-16],Microcystis aeruginosa W13-16,NA,2685994,101,101,98%,2e-25,31.48,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCQ70786.1?report=genbank&log$=prottop&blast_rank=22&RID=2AYZ3C4E016"",""NCQ70786.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,100,100,95%,3e-25,22.68,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114991409.1?report=genbank&log$=prottop&blast_rank=23&RID=2AYZ3C4E016"",""WP_114991409.1"")"
Nif11-like leader peptide family RiPP precursor [Dolichospermum planctonicum],Dolichospermum planctonicum,NA,136072,101,101,98%,3e-25,31.48,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137906278.1?report=genbank&log$=prottop&blast_rank=24&RID=2AYZ3C4E016"",""WP_137906278.1"")"
Nif11-like leader peptide family RiPP precursor [Dolichospermum flos-aquae],Dolichospermum flos-aquae,NA,1166,100,100,98%,3e-25,30.09,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193847224.1?report=genbank&log$=prottop&blast_rank=25&RID=2AYZ3C4E016"",""WP_193847224.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sphaeroides],Nostoc sphaeroides,NA,446679,101,101,98%,3e-25,33.05,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118161656.1?report=genbank&log$=prottop&blast_rank=26&RID=2AYZ3C4E016"",""WP_118161656.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sphaeroides],Nostoc sphaeroides,NA,446679,100,100,98%,4e-25,33.05,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152588656.1?report=genbank&log$=prottop&blast_rank=27&RID=2AYZ3C4E016"",""WP_152588656.1"")"
Nif11-type precursor [Synechococcus sp. PCC 9341],Synechococcus sp. PCC 9341,NA,2099386,100,100,98%,4e-25,37.84,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79519.1?report=genbank&log$=prottop&blast_rank=28&RID=2AYZ3C4E016"",""AVH79519.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,100,100,98%,5e-25,30.09,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147070054.1?report=genbank&log$=prottop&blast_rank=29&RID=2AYZ3C4E016"",""WP_147070054.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. NIES-3756],Nostoc sp. NIES-3756,NA,1751286,100,100,98%,5e-25,34.86,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067771523.1?report=genbank&log$=prottop&blast_rank=30&RID=2AYZ3C4E016"",""WP_067771523.1"")"
Nif11-like leader peptide family RiPP precursor [Dolichospermum sp. FACHB-1091],Dolichospermum sp. FACHB-1091,NA,2692798,100,100,98%,5e-25,29.20,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190393701.1?report=genbank&log$=prottop&blast_rank=31&RID=2AYZ3C4E016"",""WP_190393701.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,100,100,98%,5e-25,29.73,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149987410.1?report=genbank&log$=prottop&blast_rank=32&RID=2AYZ3C4E016"",""WP_149987410.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. NIES-2111],Nostoc sp. NIES-2111,NA,1973475,100,100,98%,5e-25,34.86,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096679527.1?report=genbank&log$=prottop&blast_rank=33&RID=2AYZ3C4E016"",""WP_096679527.1"")"
hypothetical protein [Microcystis sp. PCC 9811],Microcystis sp. PCC 9811,NA,2099381,100,100,98%,6e-25,30.09,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79687.1?report=genbank&log$=prottop&blast_rank=34&RID=2AYZ3C4E016"",""AVH79687.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa F13-15],Microcystis aeruginosa F13-15,NA,2685954,100,100,98%,7e-25,33.33,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCS31321.1?report=genbank&log$=prottop&blast_rank=35&RID=2AYZ3C4E016"",""NCS31321.1"")"
Nif11-type precursor [Microcystis sp. PCC 9622],Microcystis sp. PCC 9622,NA,2099379,100,100,98%,8e-25,30.09,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79672.1?report=genbank&log$=prottop&blast_rank=36&RID=2AYZ3C4E016"",""AVH79672.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa G13-09],Microcystis aeruginosa G13-09,NA,2685963,100,100,98%,8e-25,30.70,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCS13456.1?report=genbank&log$=prottop&blast_rank=37&RID=2AYZ3C4E016"",""NCS13456.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa LG13-11],Microcystis aeruginosa LG13-11,NA,2685979,100,100,98%,8e-25,30.97,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCR08393.1?report=genbank&log$=prottop&blast_rank=38&RID=2AYZ3C4E016"",""NCR08393.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa Ma_AC_P_19900807_S299],Microcystis aeruginosa Ma_AC_P_19900807_S299,NA,2486264,100,100,98%,8e-25,30.09,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRT83688.1?report=genbank&log$=prottop&blast_rank=39&RID=2AYZ3C4E016"",""TRT83688.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis sp. M_QC_C_20170808_M3Col],Microcystis sp. M_QC_C_20170808_M3Col,NA,2486216,100,100,98%,8e-25,30.09,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRT70217.1?report=genbank&log$=prottop&blast_rank=40&RID=2AYZ3C4E016"",""TRT70217.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa G13-05],Microcystis aeruginosa G13-05,NA,2685961,99.8,99.8,98%,9e-25,30.09,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCS53756.1?report=genbank&log$=prottop&blast_rank=41&RID=2AYZ3C4E016"",""NCS53756.1"")"
Nif11-type precursor [Scytonema sp. PCC 10023],Scytonema sp. PCC 10023,NA,1680591,99.1,99.1,98%,1e-24,39.18,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79704.1?report=genbank&log$=prottop&blast_rank=42&RID=2AYZ3C4E016"",""AVH79704.1"")"
Nif11-like leader peptide family RiPP precursor [Dolichospermum sp. FACHB-1091],Dolichospermum sp. FACHB-1091,NA,2692798,99.8,99.8,98%,1e-24,30.00,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190393700.1?report=genbank&log$=prottop&blast_rank=43&RID=2AYZ3C4E016"",""WP_190393700.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa K13-07],Microcystis aeruginosa K13-07,NA,2685969,99.8,99.8,98%,1e-24,31.48,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCS78628.1?report=genbank&log$=prottop&blast_rank=44&RID=2AYZ3C4E016"",""NCS78628.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis viridis Mv_BB_P_19951000_S68],Microcystis viridis Mv_BB_P_19951000_S68,NA,2486269,99.8,99.8,98%,1e-24,30.09,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRU70951.1?report=genbank&log$=prottop&blast_rank=45&RID=2AYZ3C4E016"",""TRU70951.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,99.1,99.1,82%,1e-24,30.95,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186539793.1?report=genbank&log$=prottop&blast_rank=46&RID=2AYZ3C4E016"",""WP_186539793.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. TCL26-01],Nostoc sp. TCL26-01,NA,2576904,99.4,99.4,98%,1e-24,35.19,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179048019.1?report=genbank&log$=prottop&blast_rank=47&RID=2AYZ3C4E016"",""WP_179048019.1"")"
Nif11-type precursor [Nostoc sp. PCC 9229],Nostoc sp. PCC 9229,NA,70817,99.1,99.1,98%,1e-24,33.02,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79600.1?report=genbank&log$=prottop&blast_rank=48&RID=2AYZ3C4E016"",""AVH79600.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,98.3,98.3,89%,1e-24,27.27,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537903.1?report=genbank&log$=prottop&blast_rank=49&RID=2AYZ3C4E016"",""WP_186537903.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,98.3,98.3,89%,2e-24,26.14,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114991471.1?report=genbank&log$=prottop&blast_rank=50&RID=2AYZ3C4E016"",""WP_114991471.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. KVJ20],Nostoc sp. KVJ20,NA,457944,99.1,99.1,98%,2e-24,33.02,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069070970.1?report=genbank&log$=prottop&blast_rank=51&RID=2AYZ3C4E016"",""WP_069070970.1"")"
Nif11-like leader peptide family natural product precursor [Nodularia sp. (in: Bacteria)],Nodularia sp. (in: Bacteria),NA,2047085,99.1,99.1,98%,2e-24,32.11,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TVP63787.1?report=genbank&log$=prottop&blast_rank=52&RID=2AYZ3C4E016"",""TVP63787.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. RS9916],Synechococcus sp. RS9916,NA,221359,97.9,97.9,93%,2e-24,23.91,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007099790.1?report=genbank&log$=prottop&blast_rank=53&RID=2AYZ3C4E016"",""WP_007099790.1"")"
Hypothetical protein P9303_11971 [Prochlorococcus marinus str. MIT 9303],Prochlorococcus marinus str. MIT 9303,NA,59922,98.3,98.3,98%,2e-24,27.27,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABM77946.1?report=genbank&log$=prottop&blast_rank=54&RID=2AYZ3C4E016"",""ABM77946.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. NIES-4103],Nostoc sp. NIES-4103,NA,2005458,98.7,98.7,98%,2e-24,36.79,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096553752.1?report=genbank&log$=prottop&blast_rank=55&RID=2AYZ3C4E016"",""WP_096553752.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. WHI],Nostoc sp. WHI,NA,2650611,98.3,98.3,98%,4e-24,32.08,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196516948.1?report=genbank&log$=prottop&blast_rank=56&RID=2AYZ3C4E016"",""WP_196516948.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,98.3,98.3,98%,4e-24,31.86,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158198714.1?report=genbank&log$=prottop&blast_rank=57&RID=2AYZ3C4E016"",""WP_158198714.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. KORDI-100],Synechococcus sp. KORDI-100,NA,1280380,97.5,97.5,87%,4e-24,31.40,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038545113.1?report=genbank&log$=prottop&blast_rank=58&RID=2AYZ3C4E016"",""WP_038545113.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,98.3,98.3,98%,4e-24,29.06,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079210238.1?report=genbank&log$=prottop&blast_rank=59&RID=2AYZ3C4E016"",""WP_079210238.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Prochlorococcus],unclassified Prochlorococcus,NA,2627481,97.5,97.5,85%,5e-24,28.57,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169189993.1?report=genbank&log$=prottop&blast_rank=60&RID=2AYZ3C4E016"",""WP_169189993.1"")"
Nif11-like leader peptide family RiPP precursor [Dolichospermum planctonicum],Dolichospermum planctonicum,NA,136072,98.3,98.3,98%,5e-24,30.56,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168357512.1?report=genbank&log$=prottop&blast_rank=61&RID=2AYZ3C4E016"",""WP_168357512.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena sp. FACHB-1391],Anabaena sp. FACHB-1391,NA,2692771,98.3,98.3,98%,5e-24,31.25,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190371502.1?report=genbank&log$=prottop&blast_rank=62&RID=2AYZ3C4E016"",""WP_190371502.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,97.1,97.1,86%,5e-24,25.88,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538196.1?report=genbank&log$=prottop&blast_rank=63&RID=2AYZ3C4E016"",""WP_186538196.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc edaphicum],Nostoc edaphicum,NA,264686,97.9,97.9,98%,5e-24,32.08,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181932338.1?report=genbank&log$=prottop&blast_rank=64&RID=2AYZ3C4E016"",""WP_181932338.1"")"
Nif11-like leader peptide family RiPP precursor [aff. Roholtiella sp. LEGE 12411],aff. Roholtiella sp. LEGE 12411,NA,1828822,97.9,97.9,98%,5e-24,34.91,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194004847.1?report=genbank&log$=prottop&blast_rank=65&RID=2AYZ3C4E016"",""WP_194004847.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIO3I6],Moorea sp. SIO3I6,NA,2607831,97.9,97.9,100%,5e-24,30.63,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEP21701.1?report=genbank&log$=prottop&blast_rank=66&RID=2AYZ3C4E016"",""NEP21701.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa K13-06],Microcystis aeruginosa K13-06,NA,2685968,98.3,98.3,98%,5e-24,29.20,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCR76920.1?report=genbank&log$=prottop&blast_rank=67&RID=2AYZ3C4E016"",""NCR76920.1"")"
Nif11-like leader peptide family RiPP precursor [Crocosphaera chwakensis],Crocosphaera chwakensis,NA,2546361,97.5,97.5,98%,6e-24,38.53,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008273925.1?report=genbank&log$=prottop&blast_rank=68&RID=2AYZ3C4E016"",""WP_008273925.1"")"
Nif11-like leader peptide family RiPP precursor [Moorea producens],Moorea producens,NA,1155739,97.5,97.5,98%,6e-24,30.91,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071102438.1?report=genbank&log$=prottop&blast_rank=69&RID=2AYZ3C4E016"",""WP_071102438.1"")"
Nif11-like leader peptide family RiPP precursor [Nodularia sp. LEGE 06071],Nodularia sp. LEGE 06071,NA,2777965,97.5,97.5,98%,6e-24,33.03,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193996852.1?report=genbank&log$=prottop&blast_rank=70&RID=2AYZ3C4E016"",""WP_193996852.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena sp. FACHB-1250],Anabaena sp. FACHB-1250,NA,2692770,97.9,97.9,98%,6e-24,28.32,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190396996.1?report=genbank&log$=prottop&blast_rank=71&RID=2AYZ3C4E016"",""WP_190396996.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc punctiforme],Nostoc punctiforme,NA,272131,97.5,97.5,98%,7e-24,33.96,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012409791.1?report=genbank&log$=prottop&blast_rank=72&RID=2AYZ3C4E016"",""WP_012409791.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. C052],Nostoc sp. C052,NA,2576902,97.5,97.5,98%,7e-24,33.02,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179066974.1?report=genbank&log$=prottop&blast_rank=73&RID=2AYZ3C4E016"",""WP_179066974.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. FACHB-110],Nostoc sp. FACHB-110,NA,2692834,97.5,97.5,98%,7e-24,31.82,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190688132.1?report=genbank&log$=prottop&blast_rank=74&RID=2AYZ3C4E016"",""WP_190688132.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,96.7,96.7,86%,8e-24,24.71,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074159307.1?report=genbank&log$=prottop&blast_rank=75&RID=2AYZ3C4E016"",""WP_074159307.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa G13-03],Microcystis aeruginosa G13-03,NA,2685960,97.1,97.1,98%,8e-24,32.67,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCT52586.1?report=genbank&log$=prottop&blast_rank=76&RID=2AYZ3C4E016"",""NCT52586.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9504],Synechococcus sp. MIT S9504,NA,1801628,96.4,96.4,98%,9e-24,23.71,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067327392.1?report=genbank&log$=prottop&blast_rank=77&RID=2AYZ3C4E016"",""WP_067327392.1"")"
Nif11-like leader peptide family RiPP precursor [Rippkaea orientalis],Rippkaea orientalis,NA,2546366,97.1,97.1,98%,9e-24,39.45,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012595957.1?report=genbank&log$=prottop&blast_rank=78&RID=2AYZ3C4E016"",""WP_012595957.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena sp. 90],Anabaena sp. 90,NA,46234,97.1,97.1,98%,1e-23,32.41,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015078324.1?report=genbank&log$=prottop&blast_rank=79&RID=2AYZ3C4E016"",""WP_015078324.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema tolypothrichoides],Scytonema tolypothrichoides,NA,1233230,97.5,97.5,98%,1e-23,36.21,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048866791.1?report=genbank&log$=prottop&blast_rank=80&RID=2AYZ3C4E016"",""WP_048866791.1"")"
Nif11-type precursor [Synechocystis sp. PCC 9413],Synechocystis sp. PCC 9413,NA,77760,97.1,97.1,98%,1e-23,30.69,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79548.1?report=genbank&log$=prottop&blast_rank=81&RID=2AYZ3C4E016"",""AVH79548.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. RS9916],Synechococcus sp. RS9916,NA,221359,95.6,95.6,88%,2e-23,27.59,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007098699.1?report=genbank&log$=prottop&blast_rank=82&RID=2AYZ3C4E016"",""WP_007098699.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,95.2,95.2,91%,3e-23,22.22,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540237.1?report=genbank&log$=prottop&blast_rank=83&RID=2AYZ3C4E016"",""WP_186540237.1"")"
